Time(s),Amplitude(mV)
1.112,0.000762939
1.113,0.000624948
1.114,0.000624948
1.115,0.000639546
1.116,0.000930124
1.117,0.00090093
1.118,0.00090093
1.119,0.000654144
1.12,0.000624949
1.121,0.001889446
1.122,0.00303716
1.123,0.001329497
1.124,0.000762939
1.125,0.000900929
1.126,0.000871732
1.127,0.00062495
1.128,0.000516159
1.129,0.002804978
1.13,0.003204346
1.131,0.003218945
1.132,0.00289917
1.133,0.003218945
1.134,0.003327734
1.135,0.003066358
1.136,0.003066358
1.137,0.003342333
1.138,0.003342333
1.139,0.002928371
1.14,0.003080959
1.141,0.003509521
1.142,0.003465719
1.143,0.003327732
1.144,0.003218947
1.145,0.003204346
1.146,0.004483455
1.147,0.005645752
1.148,0.005645752
1.149,0.005522368
1.15,0.005355178
1.151,0.00579834
1.152,0.005674957
1.153,0.005645752
1.154,0.005783737
1.155,0.005631149
1.156,0.007643997
1.157,0.008101761
1.158,0.008225143
1.159,0.00793457
1.16,0.006793438
1.161,0.005783736
1.162,0.005522372
1.163,0.005812944
1.164,0.005522372
1.165,0.005631148
1.166,0.005921719
1.167,0.005631148
1.168,0.005631147
1.169,0.005783735
1.17,0.005660357
1.171,0.005660357
1.172,0.005631147
1.173,0.005660357
1.174,0.005493164
1.175,0.005493164
1.176,0.00579834
1.177,0.005769128
1.178,0.003480309
1.179,0.003218952
1.18,0.003037152
1.181,0.00337154
1.182,0.00332772
1.183,0.003051758
1.184,0.003022544
1.185,0.001344077
1.186,0.000639566
1.187,0.000915527
1.188,0.000886312
1.189,0.000871705
1.19,0.000624959
1.191,-0.000363607
1.192,-0.001540487
1.193,-0.001387899
1.194,-0.001402508
1.195,-0.003967285
1.196,-0.004134482
1.197,-0.004119873
1.198,-0.004105264
1.199,-0.003967285
1.2,-0.003981894
1.201,-0.002869951
1.202,-0.001939814
1.203,-0.001649248
1.204,0.000486983
1.205,0.000639571
1.206,0.000900917
1.207,0.001860275
1.208,0.003218956
1.209,0.00345108
1.21,0.001191482
1.211,0.000624962
1.212,-0.000486985
1.213,-0.001649245
1.214,-0.002027476
1.215,-0.003952674
1.216,-0.003981897
1.217,-0.004119873
1.218,-0.002978699
1.219,-0.001693079
1.22,-0.000246728
1.221,0.00093014
1.222,0.002957619
1.223,0.005231826
1.224,0.007186243
1.225,0.009257563
1.226,0.012861222
1.227,0.015026679
1.228,0.017453472
1.229,0.019894879
1.23,0.021435372
1.231,0.022917411
1.232,0.024901054
1.233,0.02532959
1.234,0.025191616
1.235,0.02532959
1.236,0.025177002
1.237,0.025344204
1.238,0.024886441
1.239,0.025438333
1.24,0.025191617
1.241,0.025314975
1.242,0.025177002
1.243,0.025191617
1.244,0.023897837
1.245,0.022902799
1.246,0.022844336
1.247,0.020708105
1.248,0.020279573
1.249,0.018557258
1.25,0.017961522
1.251,0.015977879
1.252,0.014132207
1.253,0.012940737
1.254,0.010957094
1.255,0.009126039
1.256,0.008254363
1.257,0.007098544
1.258,0.00579834
1.259,0.004337343
1.26,0.002928405
1.261,0.002928406
1.262,0.001939788
1.263,0.000900909
1.264,0.000639588
1.265,0.000792176
1.266,-0.000654208
1.267,-0.001555116
1.268,-0.001417148
1.269,-0.001860293
1.27,-0.003829316
1.271,-0.004257842
1.272,-0.003996524
1.273,-0.006423311
1.274,-0.006575899
1.275,-0.007840462
1.276,-0.009307861
1.277,-0.009155273
1.278,-0.009140653
1.279,-0.008893959
1.28,-0.008864718
1.281,-0.009002686
1.282,-0.008864719
1.283,-0.009140652
1.284,-0.009126031
1.285,-0.009249376
1.286,-0.008864719
1.287,-0.008973442
1.288,-0.007999427
1.289,-0.006699245
1.29,-0.006379447
1.291,-0.004134495
1.292,-0.00399653
1.293,-0.003981908
1.294,-0.003952662
1.295,-0.002230327
1.296,-0.001649221
1.297,-0.001678467
1.298,-0.001816431
1.299,-0.001417161
1.3,-0.003829321
1.301,-0.004257837
1.302,-0.004272461
1.303,-0.004090625
1.304,-0.004119873
1.305,-0.004119873
1.306,-0.004243212
1.307,-0.004119873
1.308,-0.004119873
